"neo","pha","diameter","e","a","w","per_y"
Y,Y,,0.5635,2.258,325.83,3.39
Y,Y,,0.5967,2.454,181.75,3.85
Y,Y,,0.5834,2.258,168.09,3.39
Y,Y,,0.3115,1.405,334.29,1.67
Y,Y,,0.6408,2.674,141.57,4.37
Y,Y,,0.5421,2.094,140.59,3.03
Y,Y,,0.5857,2.126,317.57,3.1
Y,Y,,0.6259,2.371,313.10,3.65
Y,Y,,0.4040,1.644,220.91,2.11
Y,Y,,0.7068,2.247,274.51,3.37
Y,Y,,0.6705,2.704,43.07,4.45
Y,Y,,0.6561,2.61,147.45,4.22
Y,Y,,0.5438,2.202,348.03,3.27
Y,Y,,0.1722,1.144,53.37,1.22
Y,Y,,0.4026,1.46,47.71,1.76
Y,Y,,0.5842,1.472,112.46,1.79
Y,Y,,0.2501,0.9132,224.18,0.873
Y,Y,,0.3893,0.9327,230.94,0.901
Y,Y,,0.6630,2.657,88.25,4.33
Y,Y,,0.4615,1.89,1.71,2.6
Y,Y,,0.4151,1.562,134.63,1.95
Y,Y,,0.5955,1.906,245.01,2.63
Y,Y,,0.4466,1.686,136.19,2.19
Y,Y,,0.4448,1.83,184.61,2.48
Y,Y,,0.1528,1.102,125.59,1.16
Y,Y,,0.6819,2.844,54.70,4.8
Y,Y,,0.5108,1.619,72.65,2.06
Y,Y,,0.7554,2.68,263.60,4.39
Y,Y,,0.3902,1.512,112.10,1.86
Y,Y,,0.5302,2.025,140.71,2.88
Y,Y,,0.6590,2.617,54.03,4.23
Y,Y,,0.5268,1.671,238.81,2.16
Y,Y,,0.8110,2.777,278.60,4.63
Y,Y,,0.6466,2.817,150.93,4.73
Y,Y,,0.8322,3.076,90.44,5.39
Y,Y,,0.5352,1.701,245.39,2.22
Y,Y,,0.7062,2.267,277.30,3.41
Y,Y,,0.0551,1.097,347.07,1.15
Y,Y,,0.8081,2.541,291.18,4.05
Y,Y,,0.6119,2.214,303.00,3.29
Y,Y,,0.5397,1.613,75.22,2.05
Y,Y,,0.5068,1.861,142.60,2.54
Y,Y,,0.7549,2.573,253.28,4.13
Y,Y,,0.7530,1.392,296.66,1.64
Y,Y,,0.4474,1.167,81.57,1.26
Y,Y,,0.6967,2.553,113.63,4.08
Y,Y,,0.6074,2.158,61.14,3.17
Y,Y,,0.6416,2.291,128.85,3.47
Y,Y,,0.4062,1.602,195.69,2.03
Y,Y,,0.4420,1.114,285.37,1.18
Y,Y,,0.6406,2.702,153.61,4.44
Y,Y,,0.5641,1.959,208.06,2.74
Y,Y,,0.2764,1.396,197.04,1.65
Y,Y,,0.8970,2.185,64.68,3.23
Y,Y,,0.4017,1.644,349.37,2.11
Y,Y,,0.8767,2.463,242.67,3.87
Y,Y,,0.5767,1.967,133.47,2.76
Y,Y,,0.5183,2.03,170.58,2.89
Y,Y,,0.4220,1.751,199.69,2.32
Y,Y,,0.6267,2.122,67.45,3.09
Y,Y,,0.4324,1.163,263.08,1.25
Y,Y,,0.2620,1.105,259.66,1.16
Y,Y,,0.6746,2.441,341.44,3.81
Y,Y,,0.7681,2.778,267.65,4.63
Y,Y,,0.1593,1.183,130.32,1.29
Y,Y,,0.5999,0.8075,205.87,0.726
Y,Y,,0.2007,1.092,298.33,1.14
Y,Y,,0.6306,2.661,232.83,4.34
Y,Y,,0.7134,2.492,60.84,3.93
Y,Y,,0.6024,2.425,181.45,3.78
Y,Y,,0.5412,2.241,193.04,3.35
Y,Y,,0.5325,2.202,359.35,3.27
Y,Y,,0.7207,2.195,244.01,3.25
Y,Y,,0.6523,1.61,94.98,2.04
Y,Y,,0.6265,2.296,310.32,3.48
Y,Y,,0.2337,1.241,172.13,1.38
Y,Y,,0.8997,1.772,308.26,2.36
Y,Y,,0.6310,2.622,178.93,4.25
Y,Y,,0.6817,2.867,115.88,4.85
Y,Y,,0.7329,2.029,141.50,2.89
Y,Y,,0.6028,1.053,125.41,1.08
Y,Y,,0.5740,2.197,197.74,3.26
Y,Y,,0.4511,1.617,129.63,2.06
Y,Y,,0.2173,0.972,233.78,0.958
Y,Y,,0.5838,2.381,353.73,3.67
Y,Y,,0.6272,2.596,350.74,4.18
Y,Y,,0.6821,1.997,272.80,2.82
Y,Y,,0.7256,2.4,291.24,3.72
Y,Y,,0.7338,0.7036,19.47,0.59
Y,Y,,0.5457,2.224,346.03,3.32
Y,Y,,0.5638,1.996,130.87,2.82
Y,Y,,0.6284,2.469,1.13,3.88
Y,Y,,0.2662,1.129,83.20,1.2
Y,Y,,0.7789,1.678,304.32,2.17
Y,Y,,0.5797,1.485,89.11,1.81
Y,Y,,0.3392,1.28,119.79,1.45
Y,Y,,0.8546,2.063,125.75,2.96
Y,Y,,0.2036,1.224,211.15,1.35
Y,Y,,0.4869,1.914,339.83,2.65
Y,Y,,0.5292,1.96,139.93,2.74
Y,Y,,0.6827,2.427,49.09,3.78
Y,Y,,0.7137,2.471,121.86,3.88
Y,Y,,0.7327,3.23,55.39,5.81
Y,Y,,0.6108,1.782,118.69,2.38
Y,Y,,0.9103,2.547,303.32,4.07
Y,Y,,0.5811,2.108,53.55,3.06
Y,Y,,0.4998,0.6442,11.17,0.517
Y,Y,,0.7999,4.629,136.61,9.96
Y,Y,,0.7078,2.557,250.00,4.09
Y,Y,,0.6095,2.618,164.89,4.24
Y,Y,,0.4621,1.887,357.81,2.59
Y,Y,,0.7261,1.995,81.28,2.82
Y,Y,,0.7582,1.172,128.13,1.27
Y,Y,,0.6235,1.482,276.08,1.8
Y,Y,,0.5755,2.185,345.93,3.23
Y,Y,,0.6490,2.023,59.80,2.88
Y,Y,,0.7156,2.157,89.68,3.17
Y,Y,,0.6940,2.528,323.88,4.02
Y,Y,,0.6756,1.858,69.77,2.53
Y,Y,,0.3839,1.566,17.67,1.96
Y,Y,,0.6255,2.483,316.99,3.91
Y,Y,,0.6812,2.803,138.57,4.69
Y,Y,,0.6699,2.42,50.47,3.76
Y,Y,,0.6790,2.262,229.07,3.4
Y,Y,,0.2145,1.048,256.38,1.07
Y,Y,,0.6156,2.195,138.48,3.25
Y,Y,,0.5529,2.169,0.22,3.2
Y,Y,,0.3831,0.8676,123.57,0.808
Y,Y,,0.5506,2.156,167.80,3.16
Y,Y,,0.3039,0.8939,312.06,0.845
Y,Y,,0.7578,2.62,85.48,4.24
Y,Y,,0.6678,1.984,286.24,2.79
Y,Y,,0.6027,2.501,270.58,3.96
Y,Y,,0.8874,2.147,301.46,3.15
Y,Y,,0.4509,1.906,181.59,2.63
Y,Y,,0.6096,1.529,281.91,1.89
Y,Y,,0.8168,1.224,135.69,1.35
Y,Y,,0.4749,1.936,33.15,2.69
Y,Y,,0.7527,2.662,255.45,4.34
Y,Y,,0.4011,1.04,98.81,1.06
Y,Y,,0.3512,1.002,108.03,1
Y,Y,,0.7465,2.013,79.83,2.86
Y,Y,,0.5141,0.7599,214.43,0.662
Y,Y,,0.6554,2.847,156.85,4.8
Y,Y,,0.6726,2.285,112.02,3.45
Y,Y,,0.3561,1.437,304.10,1.72
Y,Y,,0.4517,1.936,169.13,2.69
Y,Y,,0.6043,2.65,174.54,4.31
Y,Y,,0.5882,2.355,135.26,3.61
Y,Y,,0.6125,1.86,129.79,2.54
Y,Y,,0.4484,1.891,21.66,2.6
Y,Y,,0.5387,2.134,338.71,3.12
Y,Y,,0.4833,2.027,322.91,2.89
Y,Y,,0.5465,1.866,225.69,2.55
Y,Y,,0.4688,1.637,49.96,2.09
Y,Y,,0.6867,1.67,277.64,2.16
Y,Y,,0.3780,1.026,287.77,1.04
Y,Y,,0.5786,2.387,185.55,3.69
Y,Y,,0.5935,1.891,128.06,2.6
Y,Y,,0.6230,2.544,202.14,4.06
Y,Y,,0.6925,2.6,66.93,4.19
Y,Y,,0.7388,2.282,261.34,3.45
Y,Y,,0.5728,2.094,150.30,3.03
Y,Y,,0.3842,1.56,150.17,1.95
Y,Y,,0.5727,1.643,71.67,2.11
Y,Y,,0.6580,2.602,225.77,4.2
Y,Y,,0.5519,1.802,219.93,2.42
Y,Y,,0.7173,2.09,248.08,3.02
Y,Y,,0.1685,1.153,39.49,1.24
Y,Y,,0.6475,2.587,311.60,4.16
Y,Y,,0.6245,2.042,273.44,2.92
Y,Y,,0.8119,2.191,242.68,3.24
Y,Y,,0.6401,2.618,156.98,4.24
Y,Y,,0.3635,0.7354,19.91,0.631
Y,Y,,0.5438,2.194,3.49,3.25
Y,Y,,0.4569,1.789,182.59,2.39
Y,Y,,0.6256,2.602,136.84,4.2
Y,Y,,0.6108,2.388,53.77,3.69
Y,Y,,0.2971,1.365,24.35,1.6
Y,Y,,0.5766,1.86,63.65,2.54
Y,Y,,0.4951,0.8636,233.49,0.802
Y,Y,,0.5070,1.92,186.86,2.66
Y,Y,,0.6711,1.961,356.84,2.75
Y,Y,,0.5925,2.27,14.77,3.42
Y,Y,,0.4882,1.726,227.32,2.27
Y,Y,,0.4077,1.44,296.29,1.73
Y,Y,,0.7452,1.875,94.14,2.57
Y,Y,,0.7512,2.047,54.47,2.93
Y,Y,,0.5712,2.065,38.28,2.97
Y,Y,,0.5861,2.184,40.09,3.23
Y,Y,,0.7307,2.825,59.34,4.75
Y,Y,,0.5026,0.7981,229.32,0.713
Y,Y,,0.5410,1.404,82.90,1.66
Y,Y,,0.4870,0.8265,308.10,0.751
Y,Y,,0.6183,1.547,74.33,1.92
Y,Y,,0.9670,2.097,337.78,3.04
Y,Y,,0.7281,1.863,100.28,2.54
Y,Y,,0.7016,2.662,131.82,4.34
Y,Y,,0.8263,4.911,108.36,10.9
Y,Y,,0.3156,0.9797,78.36,0.97
Y,Y,,0.7608,2.297,273.96,3.48
Y,Y,,0.4980,1.521,65.71,1.88
Y,Y,,0.2035,0.9054,301.22,0.862
Y,Y,,0.6046,2.318,225.08,3.53
Y,Y,,0.7480,2.114,272.14,3.07
Y,Y,,0.7118,2.809,295.63,4.71
Y,Y,,0.8733,2.492,66.90,3.93
Y,Y,,0.5615,2.141,207.17,3.13
Y,Y,,0.8756,2.046,324.09,2.93
Y,Y,,0.4381,1.572,250.15,1.97
Y,Y,,0.6530,2.441,313.18,3.81
Y,Y,,0.4407,1.753,326.73,2.32
Y,Y,,0.6563,2.215,14.14,3.3
Y,Y,,0.2660,0.7765,12.79,0.684
Y,Y,,0.5984,1.06,134.14,1.09
Y,Y,,0.4115,1.496,304.33,1.83
Y,Y,,0.7734,2.771,76.96,4.61
Y,Y,,0.5259,2.044,140.06,2.92
Y,Y,,0.5828,2.141,230.30,3.13
Y,Y,,0.3053,0.9256,42.23,0.891
Y,Y,,0.6380,2.492,324.99,3.93
Y,Y,,0.5791,2.224,24.71,3.32
Y,Y,,0.5252,2.174,352.79,3.21
Y,Y,,0.2917,1.183,292.18,1.29
Y,Y,,0.8334,1.383,315.44,1.63
Y,Y,,0.6321,2.476,16.93,3.9
Y,Y,,0.7841,2.253,260.72,3.38
Y,Y,,0.7595,2.119,115.99,3.08
Y,Y,,0.6087,2.574,159.80,4.13
Y,Y,,0.3871,1.455,44.60,1.75
Y,Y,,0.7820,2.31,273.10,3.51
Y,Y,,0.3833,1.37,307.88,1.6
Y,Y,,0.6604,2.806,149.92,4.7
Y,Y,,0.5452,2.127,359.14,3.1
Y,Y,,0.6887,2.763,301.84,4.59
Y,Y,,0.5442,2.211,325.13,3.29
Y,Y,,0.6584,2.081,273.93,3
Y,Y,,0.6621,2.219,131.41,3.31
Y,Y,,0.8865,8.908,158.21,26.6
Y,Y,,0.6617,2.821,235.05,4.74
