"neo","pha","diameter","e","a","w","per_y"
Y,Y,,0.4134,1.715,179.25,2.25
Y,Y,,0.4123,1.544,61.86,1.92
Y,Y,,0.5418,1.998,127.01,2.83
Y,Y,,0.4092,1.426,102.37,1.7
Y,Y,,0.3327,1.432,193.21,1.71
Y,Y,,0.2757,1.231,121.35,1.37
Y,Y,,0.3378,0.9417,109.38,0.914
Y,Y,,0.5946,2.219,139.39,3.31
Y,Y,2.188,0.6984,3.21,337.26,5.75
Y,Y,,0.2797,1.285,95.69,1.46
Y,Y,,0.4960,1.84,223.00,2.5
Y,Y,,0.2309,1.188,325.74,1.29
Y,Y,,0.8268,1.698,110.03,2.21
Y,Y,,0.4937,1.76,331.73,2.33
Y,Y,,0.2727,1.15,87.80,1.23
Y,Y,,0.2776,0.82,29.02,0.743
Y,Y,0.495,0.2287,1.133,307.02,1.21
Y,Y,,0.2780,1.381,178.67,1.62
Y,Y,,0.4646,1.911,11.08,2.64
Y,Y,0.167,0.1447,1.015,98.78,1.02
